Samples,Actinobacteria,Rubrobacteria,Coriobacteriia,Acidimicrobiia,Nitriliruptoria,Thermoleophilia,Bacilli,Clostridia,Negativicutes,Tissierellia,Erysipelotrichia,Deinococci,Mollicutes,Ardenticatenia,Gammaproteobacteria,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Epsilonproteobacteria,Oligoflexia,Flavobacteriia,Bacteroidia,Sphingobacteriia,Cytophagia,Chitinophagia,Chlorobia,Gemmatimonadetes,Planctomycetia,Opitutae,Verrucomicrobiae,Fusobacteriia,Vicinamibacteria,Acidobacteriia,Spirochaetia,Synergistia,Malasseziomycetes,Ustilaginomycetes,Tremellomycetes,Eurotiomycetes,Sordariomycetes,Leotiomycetes,Dothideomycetes,Saccharomycetes,Schizosaccharomycetes,Coscinodiscophyceae,Bacillariophyceae,Conoidasida,Aconoidasida,Eumycetozoa,Kinetoplastea,Cryptophyceae,Halobacteria,Methanomicrobia,Methanobacteria,Thermococci,Thermoplasmata,Caudoviricetes,Limnochordia,Gloeobacteria,Thermomicrobia,Chloroflexia,Tepidiformia,Anaerolineae,Caldilineae,Dehalococcoidia,Ktedonobacteria,Fimbriimonadia,Acidithiobacillia,Zetaproteobacteria,Hydrogenophilalia,Saprospiria,Ignavibacteria,Phycisphaerae,Methylacidiphilae,Kiritimatiellae,Lentisphaeria,Chlamydiia,Blastocatellia,Nitrospira,Thermotogae,Aquificae,Deferribacteres,Thermodesulfobacteria,Calditrichae,Chrysiogenetes,Methanococci,Archaeoglobi,Methanopyri,Thermoprotei,Nitrososphaeria,Herviviricetes,Pisoniviricetes,Revtraviricetes,Megaviricetes,Pokkesviricetes,Papovaviricetes,Repensiviricetes,Chthonomonadetes,Fibrobacteria,Chlorarachniophyceae,Candidatus Brocadiae,Quintoviricetes,Monjiviricetes,Coprothermobacteria,Spartobacteria,Endomicrobia,Dictyoglomia,Tectiliviricetes,Candidatus Babeliae,Alsuviricetes,Caldisericia,Elusimicrobia,Ellioviricetes
368257238,0.44945818993581993,0.0005774656621089511,0.0005309583604625926,0.00017827798964437417,0.0001744023811738443,0.00011239264564536632,0.06888506495519797,0.0021277090503209004,0.0015967506898583077,0.0004999534926983536,5.425851858741823e-05,0.002263355346789446,0.0001744023811738443,5.8134127057948096e-05,0.19028074907760517,0.08085681952066474,0.02355207267541004,0.0020889529656156016,0.0004456949741109354,5.0382910116888354e-05,0.014204105044491985,0.002108331007968251,0.0012324434936284996,0.0008642606889281617,0.0004301925402288159,3.875608470529873e-05,0.00010076582023377671,0.0006394753976374291,0.00018215359811490404,0.00011239264564536632,0.0005154559265804731,0.00010851703717483646,8.138777788112734e-05,0.0001588999472917248,4.650730164635848e-05,0.123507890738846,0.0003914364555235172,0.00010076582023377671,0.004317427836170278,0.0013952190493907544,6.200973552847798e-05,0.00043794375716987567,0.0014145970917434037,4.650730164635848e-05,0.005441354292623942,0.000883638731280811,0.0005464607943447121,0.0003643071962298081,0.00016665116423278454,8.138777788112734e-05,3.875608470529873e-05,0.006375375934021641,0.00012401947105695595,7.363656094006759e-05,5.425851858741823e-05,3.875608470529873e-05,0.009347967630918054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368257968,0.5572054163048029,0.0008606352663914844,0.0006303286662082641,0.0003397323801132059,0.0002104110038323139,0.00018780237161537472,0.061309787397466085,0.0018530034965003345,0.0007548268676162091,0.0005420042763474217,9.073597729731587e-05,0.0037195721723308323,0.00011907212967587963,6.903169036905427e-05,0.17362585487006518,0.10492726501567382,0.03300739724301295,0.0036393868900680883,0.00027944269420136813,0.00011575619695072856,0.01018775112538235,0.001420123551653339,0.0017770384922514188,0.0010228145214943281,0.0007273950605263229,5.2753475172858066e-05,0.00028486876593343356,0.001132541749853873,0.00031290346988243814,0.00013715903544943097,0.0002471877122385349,0.00013113006685824718,0.00014409234932929232,0.00010731564092307126,3.3460775681069975e-05,0.01910821305289787,0.0007424674820042824,0.00013806338073810853,0.0055906625746047186,0.0022904051677907176,0.00014559959147708825,0.000633343150503856,0.003224292402565085,5.154768145462131e-05,0.0016772590620673274,0.0003119991245937606,0.000437100222860824,0.00018388354203110525,5.3054923602417254e-05,0.00015976766766637014,2.260863221693917e-05,0.002115263630216829,0.0001064112956343937,9.766929117717722e-05,2.833615237856376e-05,1.416807618928188e-05,0.0009468495172454124,2.1402838498702416e-05,2.1101390069143225e-05,6.571575764390319e-05,4.7327403440792664e-05,3.436512096974754e-05,3.104918824459646e-05,1.8388354203110524e-05,1.416807618928188e-05,8.742004457216479e-06,1.3866627759722691e-05,3.225498196283322e-05,6.9333138798613455e-06,5.124623302506212e-06,2.3512977505616738e-05,6.028968591183779e-06,6.631865450302157e-05,5.426071732065401e-06,1.2660834041485936e-05,1.6278215196196202e-05,1.0550695034571613e-05,1.0852143464130802e-05,5.5466511038890764e-05,2.1704286928261604e-05,9.947798175453235e-06,8.742004457216479e-06,7.536210738979724e-06,5.72752016162459e-06,4.823174872947023e-06,5.72752016162459e-06,3.6173811547102675e-06,3.3159327251510784e-06,3.9188295842694565e-05,1.8991251062228903e-05,1.3565179330163503e-05,1.0550695034571613e-05,4.521726443387834e-06,7.837659168538913e-06,6.631865450302157e-06,1.145504032324918e-05,3.6173811547102675e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368258054,0.38915576777094646,0.001745658308754078,0.0016529428467123677,0.0015124209745554004,0.0005374599440230398,0.0005316652276454328,0.0361213645398126,0.008361775732886753,0.000987999142381976,0.00022599393872666903,0.0007301342635784692,0.012991754118594665,0.0003737592063556449,0.00047516674296376566,0.16606208459126967,0.21456530935093382,0.08704533206622202,0.010305903077573867,0.0008923863221514623,0.00011154829026893279,0.01922831761999409,0.0034101905882216593,0.0014588198480625365,0.004377908223282012,0.002891563472425842,0.00017529017042260865,0.0010430489479692417,0.0038187180928429456,0.0005707795631942795,0.0003360935499012001,0.0007084040771624433,0.0007113014353512467,0.00045198787745333806,0.00044184712379252597,8.402338747530002e-05,0.0032667713578758886,0.000509935041229407,0.00010720225298572762,0.0031784019331173837,0.00317550457492858,0.0002057124314050449,0.001709441331394035,0.0012748376030735176,5.360112649286381e-05,0.003223310985043837,0.0006287267269703484,0.0004853074966245777,0.0008040168973929571,0.00023178865510427592,0.0002824924234083363,0.00012893243940175349,0.002033945448540021,0.0004432958028869277,0.0004534365565477398,8.257470838089829e-05,2.0281507321624144e-05,0.0008271957629033846,5.504980558726553e-05,7.967735019209485e-05,0.00021585318506585696,0.0002013663941218397,9.706149932491555e-05,0.00016949545404500177,0.00010140753660812072,5.504980558726553e-05,3.0422260982436215e-05,5.794716377606898e-05,7.09852756256845e-05,2.173018641602587e-05,3.0422260982436215e-05,8.836942475850519e-05,3.911433554884656e-05,0.0001941229986498311,0.0,2.897358188803449e-05,4.780641011525691e-05,3.331961917123966e-05,4.780641011525691e-05,0.00026076223699231043,5.939584287047071e-05,2.173018641602587e-05,2.317886551042759e-05,1.883282822722242e-05,1.593547003841897e-05,0.0,2.607622369923104e-05,1.883282822722242e-05,0.0,0.00010575357389132589,0.00010140753660812072,1.4486790944017245e-05,0.00033464487080679835,0.0,3.621697736004311e-05,0.0,4.490905192645346e-05,0.0,1.593547003841897e-05,1.4486790944017245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368259600,0.40257493390670535,0.0008646220004462565,0.00044118541958254733,0.00030595617220092363,0.00017833356998451624,0.00016903655922702963,0.04717049703509875,0.0016802233987166745,0.0005223229680115215,0.0003034206238125182,8.367309681737966e-05,0.002335240065721414,0.000159739548469543,5.6627247341054924e-05,0.33283129475242906,0.11202813444491774,0.03186085586590668,0.0031229504317193723,0.0002214378925874088,9.043455918646084e-05,0.008010642541768934,0.0010919761726066114,0.0007522126885602819,0.0010201356349351237,0.0004479468819516285,8.029236563283907e-05,0.00021045051623765188,0.0009381529037100144,0.000182559483965192,0.0001301581506048128,0.00021045051623765188,0.00012170632264346132,0.00015128772050819152,0.00012255150543959647,3.718804302994652e-05,0.0174023137724227,0.0010573236779650704,0.00019016612913040832,0.011192755769217766,0.003912351163309601,0.00025017410765600383,0.001181565548996937,0.002590485270154229,9.212492477873115e-05,0.004367904690426446,0.000798697742347715,0.0005502140002839814,0.00027637477433619344,0.00010311230112848807,0.00017833356998451624,4.479468819516285e-05,0.003562445485709649,0.00010902858070143411,7.775681724443363e-05,2.4510301087919297e-05,0.0,0.0009305462585447981,1.5213290330432665e-05,1.859402151497326e-05,5.6627247341054924e-05,3.8878408622216815e-05,2.1129569903378704e-05,2.8736215068595034e-05,1.6058473126567815e-05,1.1832559145892074e-05,1.0142193553621778e-05,1.5213290330432665e-05,5.2401333360379186e-05,1.4368107534297517e-05,9.29701075748663e-06,1.6903655922702963e-05,0.0,4.986578497197374e-05,0.0,1.1832559145892074e-05,1.5213290330432665e-05,9.29701075748663e-06,0.0,4.479468819516285e-05,2.4510301087919297e-05,1.0987376349756926e-05,8.451827961351482e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.479468819516285e-05,1.9439204311108408e-05,0.0,0.0,9.29701075748663e-06,1.0142193553621778e-05,0.0,1.4368107534297517e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368259989,0.49822791290792817,0.0013155660406516452,0.0011403026820020893,0.0004497941382769721,0.0002548954655878395,0.00024289610700809812,0.05112963052520465,0.0036354420327349775,0.0019468050253313733,0.0005094273142490202,0.0001923533542025208,0.00584041507599412,0.0001283567751105668,9.74493363445663e-05,0.18392035043944924,0.13715121409873726,0.03452251825084259,0.00485574043860201,0.0005530613454480797,0.0006476017463793753,0.027708700662182784,0.003344184874481255,0.0013988343168565172,0.0018380835642603831,0.0007625046952035655,6.508742987193049e-05,0.00035888990661226474,0.001206844579580655,0.00020798888204885048,0.0001378108152036964,0.0008926795549474264,0.00018180846332941476,0.00018435378181602655,0.00016835463704303807,3.490722495924763e-05,0.013540730731848152,0.0006301481338997515,0.00017344527401626168,0.004702294095551983,0.003325276794294996,0.00017053633860299105,0.0009821293189054986,0.003079835368800286,7.817763923164835e-05,0.0016086412835386618,0.000298529496786899,0.0003756162852385709,0.0003047109845400991,6.108764367868336e-05,0.0001959895234691091,2.7271269499412214e-05,0.002540227849638583,0.0001516282584167319,0.00017053633860299105,3.272552339929466e-05,1.1999358579741375e-05,0.0013741083658437166,2.7271269499412214e-05,3.127105569265934e-05,7.417785303840122e-05,6.326934523863634e-05,3.45436080325888e-05,4.981551895225964e-05,3.417999110592997e-05,1.672637862630616e-05,6.545104679858931e-06,1.7817229406282645e-05,5.854232519207155e-05,7.99957238649425e-06,8.36318931315308e-06,2.6907652572753384e-05,7.99957238649425e-06,8.145019157157782e-05,3.636169266588295e-06,1.454467706635318e-05,2.145339867287094e-05,2.0362547892894454e-05,9.454040093129567e-06,6.65418975785658e-05,2.072616481955328e-05,1.2726592433059032e-05,9.090423166470737e-06,9.090423166470737e-06,5.817870826541272e-06,5.0906369732236135e-06,7.99957238649425e-06,3.636169266588295e-06,0.0,3.563445881256529e-05,3.599807573922412e-05,1.2726592433059032e-05,4.363403119905954e-06,1.490829399301201e-05,8.726806239811908e-06,7.99957238649425e-06,1.8180846332941475e-05,0.0,4.363403119905954e-06,3.636169266588295e-06,7.99957238649425e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368273379,0.34552489108912027,0.0006915704670738484,0.0005120832728830403,0.0002712378365886652,0.0001433603787466518,0.00013246498996190628,0.030083315317712404,0.0020712707521316253,0.0003457852335369242,0.0005906447604362055,0.00013475875602185272,0.0026074385686441033,0.00017031212995102237,3.899402301908929e-05,0.34707203629655414,0.13549390804406555,0.03927386247840276,0.0026464325916631926,0.0002454329684142679,6.995986482836609e-05,0.005296305832416305,0.0011824364039023842,0.0005591054771119421,0.0007426067619076565,0.0003480789995968706,4.243467210900894e-05,0.00019554355661043307,0.0010889654369595672,0.0001645777148011563,0.00011182109542238841,0.00021504056811997774,0.00010780700481748217,0.00011927583511721431,9.805849906270985e-05,4.5301879683941974e-05,0.03527124070379624,0.0015253544298643752,0.000299336470823009,0.021250022220858707,0.006291800302433055,0.0004335217853298751,0.0015328091695592013,0.003000819447924916,0.00011411486148233485,0.004190710591522126,0.0007810273434117591,0.0006990252067686743,0.0002827066668883974,0.00012845089935700004,0.0001966904396404063,3.268616635423661e-05,0.0017518638282840852,0.00010092570663764288,9.748505754772324e-05,2.5804868174397328e-05,6.881298179839288e-06,0.002944048737941242,2.064389453951786e-05,1.662980393461161e-05,4.931597028884823e-05,3.325960786922322e-05,2.8672075749330364e-05,2.4084543629437505e-05,1.720324544959822e-05,5.734415149866073e-06,0.0,9.175064239785716e-06,3.899402301908929e-05,5.734415149866073e-06,1.2042271814718753e-05,1.892356999455804e-05,0.0,5.3903502408741084e-05,0.0,9.175064239785716e-06,1.4336037874665182e-05,2.293766059946429e-05,0.0,5.677070998367412e-05,2.293766059946429e-05,1.0895388784745539e-05,8.60162272479911e-06,5.734415149866073e-06,6.30785666485268e-06,6.881298179839288e-06,8.028181209812502e-06,0.0,0.0,3.0392400294290187e-05,1.2042271814718753e-05,9.175064239785716e-06,0.0,5.734415149866073e-06,1.892356999455804e-05,0.0,2.2364219084477683e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368281318,0.4446528103349482,0.0009360186487472001,0.0006283533885502943,0.0003792910350575611,0.00023196983903734958,0.00022871412199822888,0.07167786633328124,0.0021316807313642755,0.0005323097358962338,0.0005111475751419492,0.0001188336719279054,0.0057349455644111055,0.00011720581340834506,6.674219930197426e-05,0.21966648434651248,0.14035070583945408,0.03022689092045632,0.004468471636193155,0.0003678960254206386,6.999791634109496e-05,0.008669974475178413,0.001399144397562119,0.001375540449028494,0.001267287857477731,0.0007170716778663333,6.104469448351305e-05,0.0003752213887586602,0.0014382130020315674,0.00023278376829712977,0.00017336693233317707,0.0002449927071938324,0.00027348023128613845,0.0001782505078918581,0.00013674011564306923,3.581288743032766e-05,0.010579452518622702,0.0006210280252122727,0.00019615695160702192,0.01978987602229515,0.009577505599833308,0.0004476610928790957,0.002507716049382716,0.0025419010782934833,8.790436005625879e-05,0.0024678335156534874,0.0004403357295410741,0.00046882325363338024,0.00040533677137052665,8.302078449757774e-05,0.00016685549825493567,3.337109965098713e-05,0.007361176225451894,0.00016766942751471583,0.00011313616710944418,3.662681669010783e-05,1.627858519560348e-05,0.0014650726676043132,1.5464655935823306e-05,2.848752409230609e-05,8.13929259780174e-05,5.0463614106370785e-05,3.092931187164661e-05,2.7673594832525915e-05,1.627858519560348e-05,1.3022868156482784e-05,9.767151117362088e-06,8.953221857581914e-06,4.6393967807469915e-05,1.0581080377142261e-05,1.1395009636922437e-05,2.1162160754284523e-05,0.0,6.918398708131479e-05,0.0,1.1395009636922437e-05,1.8720372974944e-05,2.034823149450435e-05,8.953221857581914e-06,6.511434078241393e-05,2.5231807053185392e-05,1.627858519560348e-05,8.13929259780174e-06,0.0,0.0,0.0,1.1395009636922437e-05,0.0,0.0,3.8254675209668176e-05,1.8720372974944e-05,1.220893889670261e-05,0.0,8.953221857581914e-06,1.3836797416262957e-05,0.0,2.9301453352086265e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368281322,0.46513737407601674,0.00222648202321922,0.0010638988174095482,0.0012126013204782273,0.0005258661244883282,0.00055831030697604,0.014548512163864751,0.002909161696398155,0.00043664462264712085,9.59807065261473e-05,0.00025414609615374216,0.011935403632666966,0.00010544359308506324,0.00026901634646061005,0.12436666252102113,0.24619997512612676,0.07894886256103562,0.010025252388702936,0.00023792400490988628,0.00010814727495903921,0.00667268686497272,0.0014532290072620895,0.0005637176707239919,0.0025441646434113977,0.0011477129555028038,0.00010409175214807524,0.000965214429009425,0.0035188419589797385,0.0006542910135021873,0.00029875684707434584,0.00010273991121108726,0.0006475318088172474,0.0003731080986086853,0.0001527580258796429,0.00011625832058096717,0.0016830419665500478,0.00019060957211530663,6.488836497542353e-05,0.003468823844311183,0.0014937842353717292,6.759204684939951e-05,0.0007218830603515868,0.0006069765807076076,4.0555228109639705e-05,0.0035621008689633543,0.0006042728988336316,0.00039338571266350514,0.00013112857088783505,8.516597903024338e-05,0.00014735066213169092,1.7573932180843874e-05,0.002891587764217311,0.00020007245867422255,0.00012707304807687108,3.514786436168775e-05,2.0277614054819852e-05,0.0012180086842261792,5.407363747951961e-05,6.488836497542353e-05,0.00017844300368241472,0.0001946650949262706,8.38141380932554e-05,9.057334277819534e-05,8.516597903024338e-05,2.8388659676747794e-05,1.8925773117831865e-05,5.001811466855564e-05,6.89438877863875e-05,0.0,1.4870250306867893e-05,2.7036818739759803e-05,0.0,0.00018520220836735465,0.0,3.920338717265172e-05,3.244418248771177e-05,0.0,3.6499705298675736e-05,0.00015681354869060687,2.0277614054819852e-05,0.0,0.0,1.8925773117831865e-05,0.0,0.0,0.0,0.0,0.0,4.866627373156765e-05,2.4333136865783825e-05,2.7036818739759803e-05,0.0001649245943125348,0.0,2.0277614054819852e-05,0.0,0.0,0.0,0.0,1.3518409369879902e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368281337,0.5047032610367133,0.0011533214020462048,0.0008245021086968614,0.0004956828153475178,0.0002813777037616273,0.00027156220246761704,0.05447766809863924,0.0022951913859160645,0.0007656091009327998,0.000309188290761323,0.00013741701811614354,0.003939287852662782,0.00010469868046944271,8.670359476375725e-05,0.20246270927466717,0.11879046849387677,0.0381643049479942,0.004344995239481873,0.0002977368725849777,4.5805672705381186e-05,0.00885358216719725,0.0014477864408665125,0.0008539486125788921,0.001280922918868338,0.000734526680168434,5.562117399939144e-05,0.00034190662840802386,0.0014379709395725023,0.0002633826180559418,0.0001423247687631487,0.0002830136206439623,0.00019794594276254012,0.00016849943888050937,9.815501294010253e-05,2.126691947035555e-05,0.021868936883054847,0.0009390162904603143,0.0001390529349984786,0.007004996090158651,0.003173678751729982,0.00022084877911523072,0.0009488317917543246,0.0031605914166713015,6.707259217573673e-05,0.001969643926331391,0.0003435425452903589,0.00035662988034903924,0.00019958185964487517,5.562117399939144e-05,0.00014396068564548372,3.599017141137093e-05,0.0025814768403246966,0.00013578110123380852,0.00011124234799878288,1.7995085705685465e-05,0.0,0.0057387964232313285,1.963100258802051e-05,2.781058699969572e-05,4.25338389407111e-05,5.725709088172648e-05,4.089792205837606e-05,5.562117399939144e-05,2.781058699969572e-05,0.0,0.0,0.0,5.725709088172648e-05,0.0,0.0,2.4538753235025633e-05,0.0,8.997542852842733e-05,0.0,0.0,0.0,0.0,1.6359168823350424e-05,7.361625970507691e-05,2.6174670117360677e-05,0.0,0.0,0.0,0.0,0.0,1.6359168823350424e-05,0.0,0.0,3.599017141137093e-05,2.6174670117360677e-05,1.6359168823350424e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368281369,0.38469250878308314,0.0008650773375219454,0.0004534468823566693,0.000487749420287109,0.00024273129221253983,0.00021561595270562086,0.07507780142293462,0.0013956232575127459,0.0007115326439285488,0.0003639335929000934,6.991183921061039e-05,0.0038954615455482166,0.00010127415960415524,5.847765990046384e-05,0.283170064142479,0.15693770463097328,0.03903596147400292,0.003391050892552037,0.0004171841994016331,6.82783850234466e-05,0.01665143198394772,0.0011535453469750715,0.0010529245690457819,0.0011502784386007439,0.0005184583590057883,6.27246407870897e-05,0.00023946438383821224,0.0011195694998820645,0.0002237832236414398,0.000128716189948507,0.00023913769300077948,0.00014015036925865354,0.0001293695716233725,0.00010976812137740698,3.136232039354485e-05,0.009018953949006174,0.0005129046147694314,9.2126816156038e-05,0.0038559319542188527,0.0016720037059808597,9.702717871752939e-05,0.0005057174163459107,0.0024282929946376967,4.9983698127212106e-05,0.0014867700011564856,0.00028552779191623126,0.00028324095605420193,0.00020124155585857947,4.769686226518279e-05,0.00011532186561376387,3.168901123097761e-05,0.0026373751305946622,0.00012250906403728456,5.357729733897245e-05,1.7967996058801736e-05,6.860507586087936e-06,0.0011192428090446317,2.3521740295158637e-05,2.7442030344351746e-05,5.325060650153969e-05,5.1290461476943144e-05,3.0055557043813816e-05,2.9728866206381058e-05,2.0908213595696567e-05,1.8621377733667255e-05,9.147343448117249e-06,1.437439684704139e-05,4.6063408078019e-05,7.513889260953454e-06,9.474034285550006e-06,1.4701087684474148e-05,3.2669083743275884e-06,7.905918265872764e-05,0.0,1.3067633497310354e-05,1.3721015172175873e-05,1.3721015172175873e-05,9.147343448117249e-06,7.481220177210178e-05,2.907548453151554e-05,9.474034285550006e-06,9.800725122982766e-06,7.187198423520695e-06,3.920290049193106e-06,4.2469808866258655e-06,7.187198423520695e-06,0.0,0.0,2.842210285665002e-05,1.8621377733667255e-05,1.5354469359339666e-05,0.0,7.513889260953454e-06,9.474034285550006e-06,1.2740942659877596e-05,1.7641305221368978e-05,0.0,4.2469808866258655e-06,4.2469808866258655e-06,3.920290049193106e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368281370,0.4535076898795951,0.0009988744491653894,0.0005648520793617172,0.0003509558875445963,0.00022427950209950534,0.00019520623330882873,0.0952440285582566,0.001599029783487214,0.0005586220931922864,0.00041533241129538027,0.00011629307516270647,0.0024276179440214977,0.00011006308899327577,5.3993213468399434e-05,0.19811771351200932,0.1324100493830237,0.02641098803427323,0.0028304903829780167,0.00021804951593007462,3.322659290363042e-05,0.013897022481943423,0.0010653276349726504,0.0016737896175203824,0.0008368948087601912,0.0004527123283119645,4.7763227298968726e-05,0.00020351288153473633,0.0009220379530757442,0.00016820962657462902,0.00010590976488032197,0.00023881613649484365,0.00011421641310622957,0.0001661329645181521,0.00011213975104975267,2.4919944677722817e-05,0.017157381910612158,0.0009822611527135743,0.00017651627480053662,0.0057336639379327245,0.00268720070108111,0.00016405630246167522,0.000714371747428054,0.00241931129579559,9.137313048498365e-05,0.0024317712681344514,0.0004527123283119645,0.00043609903186014924,0.00022843282621245914,7.683649608964535e-05,0.0001370596957274755,3.322659290363042e-05,0.0022199517383738074,8.306648225907605e-05,7.268317197669155e-05,3.114993084715352e-05,0.0,0.026872007010811102,2.2843282621245913e-05,2.6996606734199717e-05,4.983988935544563e-05,4.983988935544563e-05,2.6996606734199717e-05,0.0,2.2843282621245913e-05,0.0,0.0,0.0,3.322659290363042e-05,0.0,0.0,0.0,0.0,6.0223199637830135e-05,0.0,0.0,0.0,0.0,0.0,3.322659290363042e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2843282621245913e-05,3.322659290363042e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
